#key	synopsis
NFL Quarterback Club (World)	NFL Quarterback Club est un jeu de football américain sur Megadrive 32X. En dirigeant le Quarterback de l'une des équipes du Super Bowl (le championnat américain), le joueur doit faire preuve de bon sens pour mettre à mal les défenses adverses et marquer un maximum de Touchdowns. Tactique, timing et précision sont les clés pour mener votre équipe préférée vers la victoire.
Pinocchio (Europe) (Proto)	Incarnez Pinocchio et Jiminy Cricket, à travers neuf niveaux au gameplay remarquable et à l'animation époustouflante des studios Disney Interactive. Choisissez les bons chemins de vérité, de courage et de désintéressement pour que la Fée bleue vous accorde votre souhait ultime !
Pitfall - The Mayan Adventure (USA)	Pitfall : The Mayan Adventure est un jeu de plates-formes sur Megadrive 32X. Le joueur incarne Pitfall Harry, un explorateur qui doit évoluer dans la jungle en évitant un certain nombre d'embûches tels que sables mouvants, serpents, tapirs, singes, jaguars, etc. Le héros peut éviter les trous, sauter par dessus les obstacles, rebondir sur les toiles d'araignées, se balancer de liane en liane et attraper d'autres lianes élastiques qui lui permettent de monter verticalement.
Primal Rage (USA, Europe)	Primal Rage est un jeu de combat sur Megadrive 32X. La spécificité du titre est de mettre en scène des combats entre deux clans de dinosaures. Les premiers souhaitent préserver la paix sur Terre alors que les autres veulent plonger le monde dans les ténèbres. Faites votre choix et entrez dans l'arène.
RBI Baseball '95 (USA)	Cette version est la suite de la série R.B.I. Elle présente une licence MLBPA, mais ne disposant pas d'une licence MLB complète, elle essaie de recréer l'ambiance MLB en modifiant les noms des équipes et des stades réels, tout en utilisant des couleurs d'équipe similaires. Elle ne comporte pas de sauvegarde, mais dispose d'une fonction de mot de passe. A réserver aux amateurs de Baseball.
Sangokushi IV (Japan)	Romance of the Three Kingdoms IV est une nouvelle adaptation du roman historique de Luo Guangzhong sur Megadrive 32X. Il est possible de jouer en mode historique pour respecter les récits du livre ou en mode fictif, qui correspond à la scénarisation des faits historiques revue par les développeurs. Six scénarios sont prévus avec un total de 38 leaders de guerre et gouverneurs de province avec lesquels vous allez tenter de conquérir les trois Royaumes de la Chine du troisième siècle.
Soulstar X (USA) (Proto)	A l'origine, Soul Star est un jeu Mega-CD développé par Core Design. Après sa sortie, deux portages distincts étaient prévues : l'un sur Jaguar CD et l'autre sur 32X (Soul Star X). En fin de compte, aucun de ces deux jeux n'a été édité. Mais en février 2010, un dump d'une version inachevée de Soul Star X a été mis en ligne par la communauté Sega Saturno.
Space Harrier (Japan, USA) (En)	Space Harrier sur Megadrive 32X est un shoot'em up. Le personnage dirigé à la troisième personne peut courir ou voler, et doit éviter les obstacles et tirs ennemis. Faites preuve d'adresse pour arriver au terme des 18 niveaux, chacun se terminant par un affrontement avec un boss.
Spot Goes to Hollywood (USA) (Proto)	Spot goes to Hollywood est un jeu de plates-formes sur Megadrive mettant en scène Spot, le petit personnage rouge des publicités 7Up. Enfermé dans un projecteur de film, Spot devra naviguer à travers plusieurs bobines aux genres différents (aventure, horreur, pirate...) représentés par autant de niveaux à parcourir.
Star Trek - Starfleet Academy - Starship Bridge Simulator (USA)	Reprenant l'univers de Star Trek, Starfleet Academy : Starship Bridge Simulator vous apprend à piloter une navette spatiale sur votre Megadrive 32X. Vous créez un personnage en choisissant entre un homme et une femme et plusieurs noms prédéfinis. Après avoir passé des examens et pratiqué des leçons de vol sur simulateur, vous serez fin prêt pour accepter des missions à bord de votre vaisseau. Certains passages du jeu reprennent des séquences des différents films Star Trek, pour le plus grand plaisir des fans.
