#key	name	year	genre	developer	players
Chuck Rock (Europe, Brazil) (En)	Chuck Rock	1992	Platform	Core Design	1
Chuck Rock II - Son of Chuck (Europe)	Chuck Rock II : Son of Chuck	1993	Platform	Core Design	1
Cloud Master (USA, Europe, Brazil) (En)	Cloud Master	1989	Shoot'em Up / Horizontal/Shoot'em Up	Opera House	1-2
Color & Switch Test (Brazil) (En) (Rev A)	ZZZ(notgame):#NONGAME			Maxim	
Columns (USA, Europe, Brazil) (En)	Columns	1990	Puzzle / Fall/Puzzle	SEGA	1-2
Comical Machine Gun Joe (Japan) (En)	Comical Machine Gun Joe	1986	Shooter	SEGA	1
Cool Spot (Europe)	Cool Spot	1993	Platform	Virgin Interactive	1
Cosmic Spacehead (Europe) (En,Fr,De,Es)	Cosmic Spacehead	1993	Adventure	Supersonic Software	1-2
Creature Capture (Brazil) (Mega Drive 4)	Creature Capture		Puzzle	Overplay	1
Cyber Shinobi, The (Europe, Brazil) (En)	The Cyber Shinobi	1991	Platform	SEGA	1
Cyborg Hunter (USA, Europe, Brazil) (En)	Cyborg Hunter	1988	Adventure	SEGA	1
Daffy Duck in Hollywood (Europe, Brazil) (En,Fr,De,Es,It)	Daffy Duck in Hollywood	1994	Platform	Psionic Systems	1
Danan - The Jungle Fighter (Europe, Brazil) (En)	Danan : The Jungle Fighter	1990	Adventure	SEGA	1
Dead Angle (USA, Europe, Brazil) (En)	Dead Angle	1989	Shooter / TPV/Shooter	SEGA	1
Deep Duck Trouble Starring Donald Duck (Europe, Brazil) (En)	Deep Duck Trouble Starring Donald Duck	1994	Platform	SEGA	1
Desert Speedtrap Starring Road Runner and Wile E. Coyote (Europe, Brazil) (En,Fr,De,Es,It)	Desert Speedtrap Starring Road Runner and Wile E.	1993	Platform	Probe Software	1
Desert Strike (Europe) (En,Fr,De,Es)	Desert Strike	1992	Shooter	The Kremlin	1
Dick Tracy (USA, Europe, Brazil) (En)	Dick Tracy	1990	Beat'em Up	SEGA	1
Dinobasher Starring Bignose the Caveman (Europe) (Proto)	Dinobasher Starring Bignose the Caveman	1993	Platform	Optimus Software	1-2
Domino (Brazil) (Mega Drive 4)	Domino		Board game	Tectoy	1
Double Dragon (World)	Double Dragon	1988	Beat'em Up	SEGA	1-2
Double Hawk (Europe)	Double Hawk	1990	Shooter	Opera House	1-2
Doze Trabalhos de Jongo, Os (Brazil) (Mega Drive 4)	Os 12 Trabalhos De Jongo		Puzzle	Tectoy	1
Dr. Robotnik's Mean Bean Machine (Europe, Brazil) (En)	Dr. Robotnik's Mean Bean Machine	1994	Puzzle	Compile	1-2
Dragon - The Bruce Lee Story (Europe)	Dragon : The Bruce Lee Story	1994	Beat'em Up	Acclaim Entertainment	1-2
Dragon Crystal (Europe, Brazil) (En)	Dragon Crystal	1991	Role Playing Game	SEGA	1
Dynamite Duke (Europe, Brazil) (En)	Dynamite Duke	1991	Shooter / TPV/Shooter	SEGA	1
Dynamite Dux (Europe, Brazil) (En)	Dynamite Dux	1989	Beat'em Up	SEGA AM2	1
Dynamite Headdy (Brazil) (En)	Dynamite Headdy	1995	Platform	Minato Giken	1
E-SWAT (USA, Europe, Brazil) (En)	E-SWAT	1990	Platform / Shooter Scrolling/Platform	Sanritsu Denki	1
Earthworm Jim (Brazil) (En)	Earthworm Jim	1996	Platform	Shiny Entertainment	1
Ecco - The Tides of Time (Brazil)	Ecco - The Tides Of Time	1994	Adventure	Novotrade	1
Ecco the Dolphin (Europe, Brazil) (En)	Ecco the Dolphin	1994	Adventure	Novotrade	1
Enduro Racer (USA, Europe, Brazil) (En)	Enduro Racer	1987	Motorcycle race TPV/Racing, Driving	SEGA	1
Excellent Dizzy Collection, The (Europe) (En,Fr,De,Es,It) (Proto)	The Excellent Dizzy Collection	1994	Compilation	Codemasters	1-2
F-16 Fighting Falcon (USA)	F-16 Fighting Falcon	1986	Shooter / Plane/Simulation/Shooter	Nexa	1
F1 (Europe, Brazil) (En)	F1	1993	Racing, Driving	Lankhor	1-2
Fabrica de Chocolate (Brazil) (Mega Drive 4)	Fabrica De Chocolate		Platform	Tectoy	1
Fantastic Dizzy (Europe) (En,Fr,De,Es,It)	Fantastic Dizzy	1993	Platform	Chameleon	1
Fantasy Zone (World) (Sega 3D Classics) (FM Music)	Fantasy Zone	1986	Shoot'em Up / Horizontal/Shoot'em Up	SEGA	1-2
Fantasy Zone - The Maze (USA, Europe, Brazil) (En)	Fantasy Zone : The Maze	1988	Action / Labyrinth/Action	SEGA	1-2
Fantasy Zone II (USA, Europe, Brazil) (En)	Fantasy Zone II	1987	Shoot'em Up / Horizontal/Shoot'em Up	SEGA	1
Ferias Frustradas do Pica Pau (Brazil)	Ferias Frustradas Do Pica-pau	1996	Platform	Tectoy	1
FIFA International Soccer (Brazil) (En,Es,Pt)	Fifa International Soccer	1994	Sports / Football (Soccer)/Sports	Tectoy	1
Fire & Forget II (Europe)	Fire & Forget II	1990	Shoot'em Up	Titus	1
