#key	synopsis
5 in One FunPak (USA)	Pack de 5 jeux : Backgammon, Dames, Reversi, Échec, yahtzee
Barbie Super Model (USA) (Proto)	Barbie Super Model est un prototype de jeu annulé. Votre but est de promener Barbie (à pieds, en voiture, ..) pour la préparer pour son défilé de mannequin.
Batman Forever (World)	Batman Forever sur Game Gear est l'adaptation du film sorti en 1995. Vos ennemis sont l'Homme Mystère et Double-Face que vous rencontrerez à plusieurs reprises dans le jeu. Vous devez évoluer dans des niveaux mêlant combat et plates-formes, en tirant parti de tous les gadgets que vous pouvez assigner à Batman avant chaque nouvelle mission.
Batman Returns (World)	Dans Batman Returns sur Game Gear, vous défendez Gotham City et tentez de faire échouer les plans du Pingouin et ses hommes. Vous évoluez sur terre ainsi que dans les airs grâce aux gadgets que vous assignez à la ceinture de Batman.
Batter Up (USA)	Batter Up aussi connu sous le nom Gear Stadium est un jeu de baseball inspiré par la série Family Stadium sur NES. Il possède un mode 2 joueur en mode link. une version amélioré nommé Gear Stadium Heiseiban est sortie au japon en 1995.
Battleship - The Classic Naval Combat Game (USA)	Le jeu est basé sur le jeu de société de la bataille navale. Les règles restent les mêmes, le joueur doit faire couler la flotte de son adversaires.
Battletoads (USA)	Battletoads sur Game Gear vous met dans la peau de Zitz, crapaud aux pouvoirs qui sortent de l'ordinaire. Votre but : sauver vos deux frères enlevés par la Reine Noire. Débarrassez-vous de vos adversaires à travers diverses phases de jeu passant par la conduite de véhicules, le simple combat rapproché ou le jeu de plates-formes.
Beavis and Butt-Head (USA, Europe)	Aidez Beavis et Butt-Head à récupérer les tickets de concert du groupe GWAR
Berenstain Bears' Camping Adventure, The (USA)	Dans The Berenstain Bears' Camping Adventure sur Game Gear, vous incarnez les membres de la famille d'ours partis faire du camping en forêt. Vous explorerez les lieux à la recherche de friandises telles que du miel ou du bon poisson frais. Mais il vous faudra prendre garde aux autres animaux peuplant les bois.
Berlin no Kabe (Japan)	Berlin Wall est un jeu de plates-formes sur Game Gear. Le jeu vous propose d'incarner un jeune garçon équipé d'un marteau avec lequel vous devez détruire tous les blocs que vous trouvez sur votre chemin afin de pouvoir passer à l'étape suivante. Utilisez votre marteau pour tendre des pièges aux différents monstres que vous croisez et ainsi obtenir des power-up.
Bishoujo Senshi Sailor Moon S (Japan)	Sailor Moon S est basé sur la série animée Sailor Moon. Vous incarnez Tsukino Usagi, écolière dotée de pouvoirs lorsqu'elle devient Sailor Moon. Vous devez protéger le Royaume de la Lune en combattant les armées de la Reine Beryl et du Prince Diamant à travers un jeu mêlant plates-formes et action.
Bonkers Wax Up! (USA, Europe)	Bonkers : Wax Up ! sur Game Gear est un jeu de plates-formes où vous incarnez le personnage de Disney Bonker. Les Toons ont été changés en cire, retrouvez donc les pièces du Toaster à Toons qui permettra de leur redonner leur apparence normale. Il vous faudra collecter des indices à chaque niveau pour espérer accéder au suivant.
Bram Stoker's Dracula (USA)	Le joueur incarne Jonathan Harker qui, dans sa quête pour anéantir le vampire de Transylvanie, doit traverser neuf niveaux, en commençant par une taverne située près du château de Dracula, puis le château lui-même. De retour en Angleterre, il faudra chasser Dracula et ses sbires d'un couvent, d'une abbaye et de la maison de Mina, la fiancée de Jonathan, entre autres. nnnnL'une des tâches principales de chaque niveau consiste à trouver et à détruire plusieurs cercueils contenant de la terre de Transylvanie. Jonathan est gêné dans sa progression par des sbires ainsi que par des créatures sous le contrôle du vampire : chauves-souris, rats, serpents et bien d'autres encore. Le dernier cercueil de chaque lieu est généralement gardé par l'un des sbires les plus puissants de Dracula, parmi lesquels figurent ses trois épouses, le fou Renfield et l'amie de Mina, Lucy, désormais transformée en mort-vivante.nnnn
