#key	name	year	genre	developer	players
Earthworm Jim - Special Edition (USA) (RE)	Earthworm Jim : Special Edition	1995	Platform	Shiny Entertainment	1
Ecco - The Tides of Time (USA)	Ecco : The Tides of Time	1994	Adventure	Novotrade	1
Ecco the Dolphin (USA)	Ecco the Dolphin	1993	Simulation	Novotrade	1
Ecco the Dolphin CD (Japan) (Disc 1) (Ecco the Dolphin)	Ecco the Dolphin	1993	Simulation	Novotrade	1
Egawa Suguru no Super League CD (Japan)	Egawa Suguru No Super League CD	1993	Sports / Baseball/Sports	SEGA	1-8
ESPN Baseball Tonight (USA)	ESPN Baseball Tonight	1994	Sports / Baseball/Sports	Park Place Productions	1-2
ESPN National Hockey Night (USA)	ESPN National Hockey Night	1994	Sports / Hockey/Sports	Park Place Productions	1-4
ESPN NBA Hangtime '95 (USA)	ESPN NBA Hangtime '95	1994	Sports / Basketball/Sports	Sony Imagesoft	1-4
ESPN Sunday Night NFL (USA)	ESPN Sunday Night NFL	1993	Sports / Football (American)/Sports	Sony Imagesoft	1-2
Eternal Champions - Challenge from the Dark Side (USA)	Eternal Champions : Challenge from the Dark Side	1995	Fighting	Deep Water	1-2
Eye of the Beholder (USA)	Eye of the Beholder	1994	Dungeon Crawler RPG/Role Playing Game	Opera House	1
F1 Circus CD (Japan)	F1 Circus CD	1994	Racing, Driving	Nichibutsu	2
Fahrenheit (USA) (Disc 1) (Key Disc) (Sega CD)	Fahrenheit	1995		SEGA	1
Fatal Fury Special (USA)	Fatal Fury Special	1995	Fighting / Versus/Fighting	Funcom Oslo	1-2
FIFA International Soccer (USA) (En,Fr,De,Es)	FIFA International Soccer	1994	Sports / Football (Soccer)/Sports	Extended Play Productions	1-4
FIFA International Soccer - Championship Edition (Europe) (En,Fr,De,Es)	FIFA International Soccer	1994	Sports / Football (Soccer)/Sports	Extended Play Productions	1-4
Final Fight CD (USA)	Final Fight CD	1992	Beat'em Up	Capcom	1-2
Flashback (Europe) (Demo)	Flashback : The Quest for Identity	1993	Platform / Shooter Scrolling/Platform	Delphine Software International	1
Flashback - The Quest for Identity (USA)	Flashback : The Quest for Identity	1993	Platform / Shooter Scrolling/Platform	Delphine Software International	1
Flink (USA) (En,Fr,De,Es,Nl)	Flink	1995	Platform/Adventure	Sony	1
Formula One World Championship - Beyond the Limit (USA)	Formula One World Championship : Beyond the Limit	1995	Racing, Driving	SEGA	1
Game no Kandume Vol. 1 (Japan)	Game No Kanzume Vol.1	1994	Compilation	SEGA	1
Game no Kandume Vol. 2 (Japan)	Game No Kanzume Vol.2	1994	Compilation	SEGA	1-2
Garou Densetsu Special (Japan)	Fatal Fury Special	1995	Fighting / Versus/Fighting	Funcom Oslo	1-2
Gen'ei Toshi - Illusion City (Japan)	Genei Toshi: Illusion City	1993	Role Playing Game	Aisystem Tokyo	1
Ground Zero Texas (USA) (Disc 1)	Ground Zero Texas	1993	Lightgun Shooter	SCE Santa Monica	1
Gyuwambler Jiko Chuushinha 2 - Gekitou! Tokyo Mahjongland-hen (Japan)	Gambler Jiko Chuushinha 2 - Gekitou! Tokyo Mahjong Land Hen	1992	Mahjong/Asiatic board game	Game Arts	2
Heart of the Alien - Out of This World Parts I and II (USA) (RE)	Heart of the Alien : Out of this World Parts I and II	1994	Adventure/Platform	Virgin Interactive	1
Heavenly Symphony - Formula One World Championship 1993 (Japan)	Formula One World Championship : Beyond the Limit	1995	Racing, Driving	SEGA	1
Heavy Nova (Japan)	Heavy Nova	1991	Beat'em Up	Holocronet	1
Heimdall (USA)	Heimdall	1994	Role Playing Game	Core	1
Hook (USA)	Hook	1992	Platform	Core Design	1
IIIrd World War, The (Japan)	The Third World War	1994	Strategy	Micronet	1
Iron Helix (USA)	Iron Helix	1994	Strategy	Drew Pictures	1
Ishii Hisaichi no Daiseikai (Japan)	Ishii Hisaichi No Daiseikai	1994	Simulation	SEGA	1
Jaguar XJ220 (USA)	Jaguar XJ220	1993	Racing, Driving	Core	1-2
Jangou World Cup (Japan)	Jango World Cup	1993	Asiatic board game	Victor Entertainment	1
Jeopardy! (USA)	Jeopardy!	1993	Quiz	Absolute Entertainment	1-2
Joe Montana's NFL Football (USA)	Joe Montana's NFL Football	1993	Sports / Football (American)/Sports	Malibu Interactive	1-2
Jurassic Park (USA) (RE)	Jurassic Park	1993	Adventure	SEGA	1
Kamen Rider ZO (Japan)	The Masked Rider : Kamen Rider ZO	1994	Adventure / Interactive Movie/Adventure	Toei Video Co.	1
Keio Flying Squadron (USA)	Keio Flying Squadron	1994	Shoot'em Up / Horizontal/Shoot'em Up	JVC	1
Keiou Yuugekitai (Japan)	Keio Flying Squadron	1994	Shoot'em Up / Horizontal/Shoot'em Up	JVC	1
Kids on Site (USA)	Kids on Site	1994		Digital Pictures	1
Lawnmower Man, The (USA)	The Lawnmower Man	1994	Platform	Sales Curve	1
Lethal Enforcers (USA)	Lethal Enforcers	1993	Lightgun Shooter	Konami	1-2
Lethal Enforcers II - Gun Fighters (USA)	Lethal Enforcers II : Gun Fighters	1994	Lightgun Shooter	Konami	1-2
