#key	synopsis
Bakuden - The Unbalanced Zone (Japan)	Le jeu commence par une intro des plus cinglées et une musique ravageuse avant de déboucher sur un jeu dans lequel quatre personnages déboulent sans prévenir en cassant le mur de la chambre d'un pauvre type et, vous, vous êtes justement ce pauvre type.... Dans ce jeu vous pouvez exercer les actions simples comme regarder, prendre, utiliser, parler et avoir des descriptions d'objets. C'est rempli d'humour mais voilà le problème, c'est que tout est en japonais, donc il est difficile de comprendre l'histoire et les blagues...
Bari-Arm (Japan)	Android Assault est un shoot'em up à scrolling vertical. Il est également connu sous le nom de Bari-Arm au Japon. Techniquement irréprochable, 7 longs niveaux, des boss énormes, une bande son agréable et une jouabilité parfaite. La difficulté est progressive mais il faut bien admettre que le stage final est vraiment difficile. Les amateurs de boulettes seront comblés !
Batman Returns (USA)	Batman Returns sur Mega-CD est un jeu d'action qui permet au joueur d'incarner le célèbre homme chauve-souris. L'objectif du jeu est de faire baisser l'insécurité à Gotham City à bord de votre Batmobile, du Batskiboat (Jet-Ski dans les égouts) ou directement en combat singulier.
Battle Fantasy (Japan) (Rev A)	Par l'introduction on est en droit d'attendre un RPG vu que tous les éléments de l'heroic fantasy sont réunis : châteaux, dragons, lutins, ogres, elfes, chevaliers... et bien pas du tout ! Ces personnages sont tous de valeureux combattants que vous devrez affronter en combat singulier. Dès que le combat commence, la déception nous gagne : les graphismes sont moyens mais passent encore, le plus gros défaut restant la jouabilité. En effet, l'animation est catastrophique, les déplacements et les coups sont d'une rare lenteur, les prises spéciales ne sortent vraiment pas facilement, bref tout ce qui peut gâcher le plaisir pour ce genre de jeu. Si l'idée de base partait d'un bon sentiment, le résultat est un échec, dommage car l'intro nous laissait présager de bons moments, tant pis !
Battlecorps (USA)	Battlecorps sur Mega CD est un jeu d'action qui prend place sur la planète Mandlebrot's World où un virus informatique a renversé les machines contre leurs créateurs. 12 missions durant, pilotez votre robot bipède, combattez les machines hostiles pour venir à bout de l'ordinateur central, investigateur du mal qui ronge votre planète.
BC Racers (USA)	BC Racers est un jeu de courses sur Mega-CD. Directement inspiré de l'univers décalé de Chuck Rock, le titre permet de se mettre au volant de Side Cars dans des courses toutes plus déjantées les unes que les autres. Le jeu propose quatre niveaux de difficulté différents, composés chacun de 8 circuits qui prennent place dans 8 environnements distincts (jungle, village préhistorique, désert, jungle nocturne, etc.).
Beast II (Europe)	Shadow of the Beast 2 sur Mega CD est un jeu mêlant plates-formes, action et réflexion. Dans ce second opus, le héros est à la recherche de sa soeur, kidnappée par le mage Zelek. Pour la retrouver, il traverse les mondes de Karamoon et affronte toutes sortes de créatures (monstres, dragons...).
Bill Walsh College Football (USA)	Bill Walsh College Football est un jeu de football américain sur Mega-CD. Ce jeu s'intéresse particulièrement à la ligue étudiante très appréciée aux États-Unis. Choisissez parmi les équipes les plus prestigieuses et faites honneur à votre université. Le titre propose les 25 équipes de la saison 92 auxquelles viennent s'ajouter une sélection de 25 équipes de légendes (Pitt '80, Auburn '83, Florida '84, Brigham Young University Provo' 84, Texas '81, Notre Dame '88...).
Black Hole Assault (Japan)	Black Hole Assault sur Mega CD est un jeu de combat futuriste. L'action se déroule courant 22ème siècle, alors que l'exploration du système solaire n'est plus seulement possible mais nécessaire pour la survie de l'humanité. Incarnez l'une des machines au choix et battez-vous contre des aliens dans une des 10 planètes et lunes réalisées.
Blackhole Assault (USA)	Black Hole Assault sur Mega CD est un jeu de combat futuriste. L'action se déroule courant 22ème siècle, alors que l'exploration du système solaire n'est plus seulement possible mais nécessaire pour la survie de l'humanité. Incarnez l'une des machines au choix et battez-vous contre des aliens dans une des 10 planètes et lunes réalisées.
Bloodshot (Europe) (En,Fr,De,Es)	Nous sommes en l'an 2049 et une armée extraterrestre est sur le point d'envahir tout le système solaire. Vous avez été choisi et l'armée vous a implanté une puce &quot;Battle Frenzy&quot; faisant de vous le meilleur soldat au monde. Avancez dans les vaisseaux ennemis pour les anéantir de l'intérieur et utilisez toutes les armes à votre disposition pour vaincre cette menace.
Bouncers (USA)	Bouncers sur Mega CD est un jeu d'action où le joueur incarne un ballon de basket. A l'instar du basket-ball, l'objectif est de marquer plus de points que l'adversaire en faisant des paniers. La difficulté est qu'il faut s'aider du ballon adverse pour atteindre le précieux sésame. Différents bonus peuvent aider à remporter la partie, soit en augmentant le nombre de points, soit en augmentant temporairement les capacités de votre avatar.
Bram Stoker's Dracula (USA)	Le joueur incarne Jonathan Harker qui, dans sa quête pour anéantir le vampire de Transylvanie, doit traverser neuf niveaux, en commençant par une taverne située près du château de Dracula, puis le château lui-même. De retour en Angleterre, il faudra chasser Dracula et ses sbires d'un couvent, d'une abbaye et de la maison de Mina, la fiancée de Jonathan, entre autres. nnnnL'une des tâches principales de chaque niveau consiste à trouver et à détruire plusieurs cercueils contenant de la terre de Transylvanie. Jonathan est gêné dans sa progression par des sbires ainsi que par des créatures sous le contrôle du vampire : chauves-souris, rats, serpents et bien d'autres encore. Le dernier cercueil de chaque lieu est généralement gardé par l'un des sbires les plus puissants de Dracula, parmi lesquels figurent ses trois épouses, le fou Renfield et l'amie de Mina, Lucy, désormais transformée en mort-vivante.nnnn
Brutal - Paws of Fury (USA)	Tous les quatre ans sur la célèbre et isolée, île Brutale, les meilleurs artistes martiaux du monde sont invités à concourir dans le tournoi le plus éprouvant, bien connu sous le nom de Tournoi de l'île Brutale. Seul le vainqueur de ce tournoi a le privilège de défier Dali Llama, le plus grand combattant du monde, pour la très convoité Ceinture du Ciel. Contrairement aux jeux similaires de l'époque, Brutal : paws of fury, joue la carte de l'originalité en proposant des personnages anthropomorphiques, tel qu'un lapin moine ou encore un lion rock star.
Burai - Yatsudama no Yuushi Densetsu (Japan)	Burai sur Mega-CD est un jeu de rôle se déroulant dans le monde de Kypros, peuplé de nombreuses races et de dieux différents cohabitant dans la joie et la bonne humeur. Lorsque Lord Bido tente de ressusciter Daar, le Dieu obscur, c'est tout l'équilibre de Kypros qui est remis en question. Selon la prophétie, huit héros sont à même de faire tomber Bido. Le joueur incarne Gonza et Mamai durant l'histoire introductive, à savoir la rencontre entre les héros.
Cadillacs and Dinosaurs - The Second Cataclysm (USA, Brazil) (RE)	Cadillacs and Dinosaurs: The Second Cataclysm est un jeu Sega Mega-CD (et DOS) basé sur la série de bandes dessinées Xenozoic Tales, et l'émission de télévision du même nom. A ne pas confondre avec le beat-'em-up arcade Cadillacs et Dinosaurs par Capcom. Le jeu Mega-CD n'a été lancé qu'en Amérique du Nord et au Brésil. Situé dans l'ère appelée «Xenozoic Age», après une catastrophe en l'an 2020 poussant tous les habitants précédents de la planète à partager la Terre (dont les dinosaures...). Afin de maintenir l'équilibre perturbé par une race de mutants connue sous le nom de Girth, vous vous mettez au volant d'une Cadillac de 1953, armée de mitrailleuses. Il s'agit d'un jeu de type rail-shooter à base de FMV (vidéos interactives), où vous passez la plupart du temps à éviter des obstacles et des tirs ennemis.
Captain Tsubasa (Japan)	Captain Tsubasa sur Mega CD est un jeu de sport adapté du manga éponyme, plus connu en France sous le nom d'Olive et Tom. Le joueur prend les commandes d'une équipe de football et dirige le match au travers d'actions contextuelles. Chaque partie se découpe en un ensemble d'actions où le joueur prend une décision, à savoir tirer, frapper, dribbler, etc.
CD Sonic the Hedgehog (Japan) (Beta) (1992-12-04)	Sonic CD est un jeu de plates-formes sur Mega-CD. Il s'agit toujours de traverser les niveaux à toute vitesse en ramassant un maximum d'anneaux mais des adversaires de plus en plus coriaces viendront se frotter à notre héros.
Championship Soccer '94 (USA) (En,Fr,De,It)	La mouture European Champions de Sensible Soccer sur Mega-CD inclut les noms des joueurs présents en clubs européens lors de la saison 92/93. Vous pouvez aussi participer aux qualifications pour la Coupe du Monde 94. L'un des arguments majeurs du jeu à l'époque était la prise en compte des cartons.
Chuck Rock (USA)	Chuck Rock sur Mega CD est un jeu de plates-formes. Le joueur dirige un homme préhistorique prénommé Chuck, à la recherche de sa femme faite prisonnière par Garry Gritter. Pour se défendre, le héros peut donner des coups de ventre ou jeter des pierres sur ses ennemis. Il peut également leur monter dessus pour atteindre des zones inaccessibles.
Chuck Rock II - Son of Chuck (USA)	Chuck Rock II : Son of Chuck sur Mega CD est un jeu de plates-formes préhistorique. Chuck Rock, qui tient une usine d'automobiles, a été enlevé par l'un de ses rivaux. En incarnant Junior, le rejeton, le joueur doit traverser les niveaux pour retrouver Chuck. Armé d'un gourdin pour se défendre face aux dinosaures, Junior peut chevaucher certains animaux pour atteindre des zones inaccessibles.
Cliffhanger (USA)	Cliffhanger est l'adaptation sur Mega CD du film du même nom sorti en 1992. Vous incarnez Gabe (Silvester Stallone) et revivez le scénario du film. Gabe doit escalader les montagnes, éviter les avalanches et éliminer les ennemis. Pour ce faire, il peut se battre à mains nues ou ramasser les armes de ses adversaires.
Cobra Command (USA)	Cobra Command est un shoot'em up sur Mega-CD. Vous êtes aux commandes d'un hélicoptère et au cours des différents niveaux, vous devez exterminer tous les ennemis qui fondent vers vous.
Colors of Modern Rock, The (USA)	The Colors of Modern Rock est un disque contenant six clips musicaux, publié par Sega et Warner Custom Music, qui peut être lu via le Sega Mega-CD, et était disponible via une offre spéciale de Sega. Les 6 clips inclus sont les suivants : Too Much Joy - Donna Everywhere T-Ride - Back Door Romeo The Belltower - Outshine the Sun Xtra Large - Hooker Mr. Big - To Be With You Dramarama - Haven't Got a Clue
Compton's Interactive Encyclopedia (USA) (Version 2.00S)	L'Encyclopédie interactive de Compton est, comme son nom l'indique, une encyclopédie multimédia concédée sous licence par la série d'encyclopédies imprimées de Compton, avec 34 000 sujets, 5 000 images et 30 articles vidéo de l'American Library Accociation. Il fait partie d'une série importante qui a vraisemblablement commencé en 1989 et a eu un certain nombre d'entrées tout au long des années 90; Une relation possible entre ce produit Mega-CD et le produit de nom similaire sur CD-i en 1992 est inconnue. Il existe une &quot;version 2.10&quot;; les différences sont inconnues.
Corpse Killer (USA)	Corpse Killer sur Mega-CD est un jeu de tir se déroulant comme un film interactif. Le joueur incarne une élite des forces spéciales en mission sur une île tropicale infestée de zombies. Il faudra tirer sur tout ce qui bouge pour arrêter cette armée de morts-vivants créée par le Dr. Hellman. La vue est à la première personne et il suffit de viser et tirer pour avancer dans le jeu.
Cosmic Fantasy Stories (Japan)	Il s'agit d'une réédition de deux jeux Turbo CD: Cosmic Fantasy: Bouken Shounen Yuu et Cosmic Fantasy II. Le premier jeu raconte l'histoire d'un jeune homme nommé Yuu, qui est en quête de devenir un Chevalier cosmique. Le second décrit les aventures d'un autre jeune homme, Van, dont la petite amie a été enlevée par un sorcier maléfique. Les deux jeux se déroulent dans un univers de science-fiction avec des voyages intergalactiques. L'édition Sega CD présente des graphismes et de la musique améliorés (ce changement est particulièrement perceptible pour le premier Cosmic Fantasy). Il reproduit également le système de jeu du premier, permettant aux personnages précédemment passifs de participer aux combats, mais aussi d'augmenter la quantité d'ennemis rencontrés dans les batailles et de modifier le niveau de difficulté.
