#name	crc	size	key
Slam City with Scottie Pippen (USA) (Disc 3) (Mad Dog) (Sega CD 32X)	47d63137	329	Slam City with Scottie Pippen (USA) (Disc 1) (Fingers)
Slam City with Scottie Pippen (USA) (Disc 4) (Smash) (RE-1)	97af29b4	311	Slam City with Scottie Pippen (USA) (Disc 1) (Fingers)
Slam City with Scottie Pippen (USA) (Disc 4) (Smash) (Sega CD 32X)	ca42f3ff	325	Slam City with Scottie Pippen (USA) (Disc 1) (Fingers)
Slam City with Scottie Pippen (USA, Brazil) (Disc 1) (Fingers) (RE-1)	35595a3b	331	Slam City with Scottie Pippen (USA) (Disc 1) (Fingers)
Slam City with Scottie Pippen (USA, Brazil) (Disc 2) (Juice) (RE-1)	5177b40a	327	Slam City with Scottie Pippen (USA) (Disc 1) (Fingers)
Slam City with Scottie Pippen (USA, Brazil) (Disc 3) (Mad Dog) (RE-1)	2f54bb53	331	Slam City with Scottie Pippen (USA) (Disc 1) (Fingers)
Slam City with Scottie Pippen (USA, Brazil) (Disc 4) (Smash)	fb66eafc	313	Slam City with Scottie Pippen (USA) (Disc 1) (Fingers)
Smurfs, The (Europe) (En,Fr,De,Es,It)	a82d2530	2777	Smurfs, The (Europe) (En,Fr,De,Es,It)
Snatcher (Europe)	a5747dab	2334	Snatcher (USA)
Snatcher (USA)	13845fdf	2271	Snatcher (USA)
Snatcher (USA) (Beta) (1994-10-07)	a285b223	2691	Snatcher (USA)
Software Toolworks' Star Wars Chess, The (Europe)	c9c6362b	291	Software Toolworks' Star Wars Chess, The (USA)
Software Toolworks' Star Wars Chess, The (USA)	c89bb00f	285	Software Toolworks' Star Wars Chess, The (USA)
Software Toolworks' Star Wars Chess, The (USA) (Alt)	50b262d9	274	Software Toolworks' Star Wars Chess, The (USA)
Sol-Feace (Europe)	cfc94dfb	2016	Sol-Feace (USA) (RE)
Sol-Feace (Europe) (Alt)	b2c85d7c	2124	Sol-Feace (USA) (RE)
Sol-Feace (Japan)	14290399	2469	Sol-Feace (USA) (RE)
Sol-Feace (USA) (RE)	2060d152	2075	Sol-Feace (USA) (RE)
Sol-Feace (USA) (RE2)	c5a409c6	2093	Sol-Feace (USA) (RE)
Sonic CD (Europe)	e19b0360	3902	Sonic CD (USA)
Sonic CD (Europe) (Beta) (1993-08-06)	c2d9a139	4625	Sonic CD (USA)
Sonic CD (Europe) (Beta) (1993-08-19)	e4563e8e	4602	Sonic CD (USA)
Sonic CD (USA)	33b99240	3820	Sonic CD (USA)
Sonic CD (USA) (Alt)	fd3a6a22	4030	Sonic CD (USA)
Sonic CD (USA) (Beta) (1993-10-12)	325b3c53	4520	Sonic CD (USA)
Sonic CD (USA) (RE125)	e8a15187	4100	Sonic CD (USA)
Sonic CD (USA) (RE125) (Alt 1)	a6f7b32d	4380	Sonic CD (USA)
Sonic CD (USA) (RE125) (Alt 2)	cef63750	4380	Sonic CD (USA)
Sonic the Hedgehog CD (Japan)	cc61c1b8	4345	Sonic the Hedgehog CD (Japan)
Sonic the Hedgehog CD (Japan) (Beta) (1993-07-12)	50dd5ceb	5045	Sonic the Hedgehog CD (Japan)
Sonic the Hedgehog CD (Japan) (Beta) (1993-08-01)	8daa815d	5022	Sonic the Hedgehog CD (Japan)
