#key	style	ss_system_id
Mickey Mania - The Timeless Adventures of Mickey Mouse (USA)	box-2D	20
Microcosm (USA)	box-2D	20
Midnight Raiders (USA)	box-2D	20
Might and Magic III - Isles of Terra (Japan)	box-2D	20
Mighty Morphin Power Rangers (USA)	box-2D	20
Mortal Kombat (USA)	box-2D	20
Mortal Kombat Kanzenban (Japan)	box-2D	20
My Paint (USA)	box-2D	20
NBA Jam (USA)	box-2D	20
NFL Football Trivia Challenge (USA)	box-2D	20
NFL's Greatest - San Francisco vs. Dallas 1978-1993 (USA)	box-2D	20
NHL '94 (USA)	box-2D	20
NHL Hockey '94 (Europe)	box-2D	20
Night Striker (Japan, Korea)	box-2D	20
Night Trap (USA) (Disc 1)	box-2D	20
Ninja Warriors, The (Japan)	box-2D	20
Nobunaga no Yabou - Haouden (Japan)	box-2D	20
Nostalgia 1907 - In North Atlantic Sea (Japan)	box-2D	20
Novastorm (USA)	box-2D	20
Panic! (USA) (RE)	box-2D	20
Pier Solar and the Great Architects - The Definitive Original Soundtrack (Europe) (Disc 4) (Enhanced Soundtrack Disc)	box-2D	20
Pier Solar and the Great Architects Enhanced Soundtrack Disc (USA)	box-2D	20
Pitfall - The Mayan Adventure (USA)	box-2D	20
Popful Mail (USA) (RE)	box-2D	20
PopfulMail (Japan)	box-2D	20
Power Factory (USA)	box-2D	20
Power Monger (USA)	box-2D	20
PowerMonger (Europe)	box-2D	20
Prince of Persia (USA)	box-2D	20
Prize Fighter (USA) (Disc 1)	box-2D	20
Pro Yakyuu Super League CD (Japan)	box-2D	20
Psychic Detective Series Vol. 3 - Aya (Japan)	box-2D	20
Puggsy (USA)	box-2D	20
Quiz Scramble Special (Japan) (Rev B)	box-2D	20
Quiz Tonosama no Yabou (Japan)	box-2D	20
RDF - Global Conflict (USA)	box-2D	20
Racing Aces (USA)	box-2D	20
Radical Rex (USA)	box-2D	20
Ranma 1-2 - Byakuranaika (Japan)	box-2D	20
Record of Lodoss War (Japan)	box-2D	20
Revenge of the Ninja (USA)	box-2D	20
Revengers of Vengeance (USA)	box-2D	20
Rise of the Dragon (USA)	box-2D	20
Rise of the Dragon - A Blade Hunter Mystery (Japan)	box-2D	20
Road Avenger (USA)	box-2D	20
Road Blaster FX (Japan)	box-2D	20
Road Rash (USA)	box-2D	20
Robo Aleste (USA)	box-2D	20
Samurai Shodown (USA) (RE)	box-2D	20
San Diego Zoo Presents... The Animals!, The (USA)	box-2D	20
Sangokushi III (Japan)	box-2D	20
Secret of Monkey Island, The (USA) (RE)	box-2D	20
Sega Classic Arcade Collection - Limited Edition (Japan)	box-2D	20
Sega Classics Arcade Collection (USA) (5-in-1)	box-2D	20
Sega Classics Arcade Collection - Limited Edition (Europe) (Rev A)	box-2D	20
Seima Densetsu 3x3 Eyes (Japan, Korea)	box-2D	20
Seirei Shinseiki - Fhey Area (Japan)	box-2D	20
Sengoku Denshou (Japan)	box-2D	20
Sensible Soccer (Europe) (En,Fr,De,It)	box-2D	20
Sewer Shark (USA)	box-2D	20
Shadow of the Beast II (USA)	box-2D	20
Shadow of the Beast II - Juushin no Jubaku (Japan)	box-2D	20
Shadowrun (Japan)	box-2D	20
Sherlock Holmes - Consulting Detective (USA)	box-2D	20
Sherlock Holmes - Consulting Detective - Vol. II (USA) (Disc 1)	box-2D	20
Shin Megami Tensei (Japan)	box-2D	20
Shining Force CD (USA) (3R)	box-2D	20
Silpheed (USA)	box-2D	20
SimEarth (Japan)	box-2D	20
Sing!! Sega Game Music Presented by B. B. Queens (Japan)	box-2D	20
Slam City with Scottie Pippen (USA) (Disc 1) (Fingers)	box-2D	20
